;TP_SEXO;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;CO_MUNICIPIO_ESC;Q001;Q002;Q003;Q004;Q022;Q024;Q025;RendaMaxima;ClasseSocial;anosEstudoPai;anosEstudoMae;RazaoPessoasQuarto;PessoasPorQuarto;mediaNota;NOTA_MT;NOTA_LC;NOTA_CH;NOTA_CN;NOTA_REDACAO;Cluster
0;M;Parda;Estadual;Urbano;408.4;507.4;528.2;505.6;620.0;2211001.0;Medio;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;0;E;12;9;1.33;(1, 2];513.92;(500, 650];(500, 650];(500, 650];(300, 500];(500.0, 650.0];1
1;F;Parda;Estadual;Urbano;372.2;463.5;504.9;469.1;700.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;2495;D;12;12;2.0;(1, 2];501.94;(300, 500];(500, 650];(300, 500];(300, 500];(650.0, 800.0];1
2;M;Parda;Estadual;Urbano;503.9;455.5;520.6;486.3;560.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;2994;D;0;12;1.0;(0, 1];505.2600000000001;(300, 500];(500, 650];(300, 500];(500, 650];(500.0, 650.0];1
3;F;NaoDeclarado;Estadual;Urbano;410.8;427.6;488.5;418.1;440.0;2211001.0;NaoSabe;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;0;5;1.67;(1, 2];437.0;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
4;M;Branco;Estadual;Urbano;443.6;436.9;470.9;466.7;260.0;2211001.0;FundamentalCompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;9;5;5.0;(4, 20];415.62;(300, 500];(300, 500];(300, 500];(300, 500];(-0.001, 300.0];1
5;F;Parda;Particular;Urbano;553.4;593.1;598.9;712.2;960.0;2211001.0;Superior;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;2994;D;16;12;2.5;(2, 3];683.52;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
6;F;Parda;Estadual;Urbano;426.4;465.4;501.9;471.1;480.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;12;12;1.5;(1, 2];468.96;(300, 500];(500, 650];(300, 500];(300, 500];(300.0, 500.0];1
7;F;Parda;Estadual;Urbano;399.9;504.0;478.8;482.3;600.0;2211001.0;FundamentalIncompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;4;9;3.0;(2, 3];493.0;(300, 500];(300, 500];(500, 650];(300, 500];(500.0, 650.0];1
8;F;Parda;Estadual;Urbano;516.5;599.0;636.2;601.5;820.0;2211001.0;FundamentalCompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;998;E;9;5;1.0;(0, 1];634.64;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
9;M;Preta;Particular;Urbano;503.4;518.6;532.8;497.6;940.0;2211001.0;Superior;Medio;Grupo(D,E);Grupo(A,B,C);Sim;Sim;Sim;1497;E;16;12;2.0;(1, 2];598.48;(300, 500];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
10;F;Preta;Particular;Urbano;489.4;578.9;553.0;563.0;680.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Não;Sim;2495;D;16;18;2.0;(1, 2];572.86;(500, 650];(500, 650];(500, 650];(300, 500];(650.0, 800.0];0
11;M;Branco;Particular;Urbano;715.0;685.2;625.9;861.3;800.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;19960;A;18;18;1.25;(1, 2];737.4799999999998;(800, 1000];(500, 650];(650, 800];(650, 800];(650.0, 800.0];0
12;F;Parda;Particular;Urbano;490.8;566.9;590.5;503.3;820.0;2211001.0;NaoSabe;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;3992;D;0;12;3.25;(3, 4];594.3;(500, 650];(500, 650];(500, 650];(300, 500];(800.0, 1000.0];0
13;F;Branco;Estadual;Urbano;421.3;399.8;493.4;442.2;600.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1996;E;12;12;2.0;(1, 2];471.34;(300, 500];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
14;F;Preta;Estadual;Urbano;404.4;464.2;535.7;518.1;700.0;2211001.0;FundamentalIncompleto;FundamentalCompleto;Grupo(A,B,C);NãoSabe;Sim;Não;Nao;998;E;4;9;2.5;(2, 3];524.48;(500, 650];(500, 650];(300, 500];(300, 500];(650.0, 800.0];1
15;F;Parda;Estadual;Urbano;548.4;599.9;578.6;521.5;860.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;12;12;0.67;(0, 1];621.6800000000002;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
16;F;Parda;Estadual;Urbano;423.1;381.2;455.8;468.1;500.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;1497;E;5;12;2.5;(2, 3];445.64;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
17;F;Parda;Estadual;Urbano;417.2;399.3;527.9;426.0;580.0;2211001.0;Superior;FundamentalIncompleto;Grupo(D,E);Grupo(A,B,C);Sim;Sim;Sim;1497;E;16;5;2.5;(2, 3];470.08;(300, 500];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
18;M;Preta;Estadual;Urbano;500.1;392.7;438.3;421.6;400.0;2211001.0;Medio;Medio;NãoSabe;Grupo(A,B,C);Sim;Não;Nao;0;E;12;12;3.0;(2, 3];430.54;(300, 500];(300, 500];(300, 500];(500, 650];(300.0, 500.0];1
19;M;Branco;Estadual;Urbano;540.6;567.2;646.9;596.3;700.0;2211001.0;FundamentalCompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;9;9;1.5;(1, 2];610.1999999999998;(500, 650];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
20;M;Amarelo;Estadual;Urbano;427.5;443.2;444.0;479.4;600.0;2211001.0;Medio;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;12;5;2.0;(1, 2];478.82;(300, 500];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
21;M;NaoDeclarado;Particular;Urbano;667.4;650.7;652.1;817.9;940.0;2211001.0;Medio;Superior;Grupo(D,E);Grupo(A,B,C);Sim;Não;Nao;3992;D;12;16;1.0;(0, 1];745.6200000000001;(800, 1000];(650, 800];(650, 800];(650, 800];(800.0, 1000.0];0
22;F;Parda;Estadual;Urbano;407.1;406.4;488.7;519.9;400.0;2211001.0;FundamentalIncompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;5;9;4.0;(3, 4];444.42;(500, 650];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
23;F;Parda;Estadual;Urbano;539.8;572.7;556.4;618.5;820.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;2495;D;12;12;1.67;(1, 2];621.4799999999998;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
24;F;Preta;Estadual;Urbano;422.6;438.6;497.3;498.6;600.0;2211001.0;FundamentalIncompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;4;9;2.5;(2, 3];491.42;(300, 500];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
25;M;Preta;Estadual;Urbano;423.8;366.5;480.9;457.5;640.0;2211001.0;NaoSabe;NaoSabe;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;3992;D;0;0;3.0;(2, 3];473.74000000000007;(300, 500];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
26;F;Parda;Estadual;Urbano;386.7;471.3;510.8;499.5;700.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1996;E;12;12;2.5;(2, 3];513.66;(300, 500];(500, 650];(300, 500];(300, 500];(650.0, 800.0];1
27;F;Parda;Particular;Urbano;546.6;513.5;545.6;630.9;900.0;2211001.0;FundamentalIncompleto;Medio;Grupo(D,E);Grupo(A,B,C);Sim;Não;Sim;1497;E;5;12;1.33;(1, 2];627.3199999999998;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
28;F;Parda;Estadual;Urbano;543.2;569.3;581.2;405.2;740.0;2211001.0;FundamentalCompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;998;E;9;9;1.0;(0, 1];567.78;(300, 500];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
29;F;Parda;Estadual;Urbano;442.7;406.5;468.7;419.1;520.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;0;E;4;12;2.0;(1, 2];451.4;(300, 500];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
30;F;Preta;Estadual;Urbano;579.0;632.8;584.8;672.7;860.0;2211001.0;Superior;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;16;9;1.5;(1, 2];665.86;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
31;M;Branco;Estadual;Urbano;444.8;518.0;511.1;408.2;560.0;2211001.0;NaoSabe;FundamentalCompleto;Grupo(A,B,C);NãoSabe;Sim;Sim;Sim;1497;E;0;9;1.0;(0, 1];488.42;(300, 500];(500, 650];(500, 650];(300, 500];(500.0, 650.0];1
32;M;Parda;Particular;Urbano;454.7;475.8;505.3;431.4;640.0;2211001.0;Superior;Superior;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;2994;D;16;16;2.5;(2, 3];501.44;(300, 500];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
33;F;Branco;Estadual;Urbano;444.8;508.4;468.9;413.7;580.0;2211001.0;NaoSabe;Superior;NãoSabe;Grupo(A,B,C);Sim;Não;Sim;998;E;0;16;1.5;(1, 2];483.16;(300, 500];(300, 500];(500, 650];(300, 500];(500.0, 650.0];1
34;M;Preta;Estadual;Urbano;515.4;585.6;601.9;482.8;520.0;2211001.0;Medio;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1996;E;12;9;2.0;(1, 2];541.1400000000001;(300, 500];(500, 650];(500, 650];(500, 650];(500.0, 650.0];0
35;F;Parda;Estadual;Urbano;464.1;390.9;416.7;470.2;600.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;12;12;1.5;(1, 2];468.38;(300, 500];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
36;M;Parda;Municipal;Urbano;527.9;634.9;566.5;467.8;720.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);NãoSabe;Sim;Não;Sim;998;E;4;12;1.0;(0, 1];583.42;(300, 500];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
37;F;Parda;Estadual;Urbano;476.3;489.8;508.5;414.7;520.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;0;E;4;4;2.5;(2, 3];481.86;(300, 500];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
38;F;Parda;Estadual;Urbano;387.8;469.0;502.6;430.1;860.0;2211001.0;FundamentalCompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;1497;E;9;5;5.0;(4, 20];529.9;(300, 500];(500, 650];(300, 500];(300, 500];(800.0, 1000.0];1
39;M;NaoDeclarado;Particular;Urbano;666.8;608.3;639.3;822.6;940.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;8982;C;18;18;1.5;(1, 2];735.4;(800, 1000];(500, 650];(500, 650];(650, 800];(800.0, 1000.0];0
40;M;Parda;Estadual;Urbano;414.4;495.4;514.1;422.7;580.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Não;Nao;998;E;16;18;1.5;(1, 2];485.32;(300, 500];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
41;F;Parda;Estadual;Urbano;566.0;597.8;602.0;459.4;900.0;2211001.0;NaoSabe;FundamentalIncompleto;NãoSabe;Grupo(A,B,C);Sim;Não;Sim;998;E;0;4;1.67;(1, 2];625.04;(300, 500];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
42;F;Parda;Estadual;Urbano;565.1;404.2;573.0;543.0;980.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;1497;E;12;12;5.0;(4, 20];613.06;(500, 650];(500, 650];(300, 500];(500, 650];(800.0, 1000.0];0
43;F;Branco;Particular;Urbano;631.2;739.3;644.9;750.3;940.0;2211001.0;Superior;Superior;Grupo(A,B,C);Grupo(D,E);Sim;Sim;Sim;5988;C;16;18;1.67;(1, 2];741.14;(650, 800];(500, 650];(650, 800];(500, 650];(800.0, 1000.0];0
44;F;Parda;Estadual;Urbano;469.6;453.8;502.8;455.0;620.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;0;5;1.5;(1, 2];500.24;(300, 500];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
45;F;Parda;Particular;Urbano;553.4;621.6;619.4;665.9;980.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;4990;C;16;18;1.0;(0, 1];688.0600000000002;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
46;M;NaoDeclarado;Estadual;Urbano;348.2;341.3;416.7;411.6;300.0;2211001.0;Medio;Medio;Grupo(D,E);Grupo(A,B,C);Sim;Sim;Sim;3992;D;12;12;2.0;(1, 2];363.56;(300, 500];(300, 500];(300, 500];(300, 500];(-0.001, 300.0];1
47;F;Parda;Estadual;Urbano;483.0;481.9;532.7;414.1;560.0;2211001.0;FundamentalCompleto;Medio;Grupo(A,B,C);NãoSabe;Sim;Não;Sim;1497;E;9;12;2.0;(1, 2];494.34;(300, 500];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
48;F;Preta;Estadual;Urbano;438.4;479.0;521.7;500.6;600.0;2211001.0;FundamentalIncompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;5;9;5.0;(4, 20];507.94000000000005;(500, 650];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
49;F;Branco;Estadual;Urbano;417.0;409.9;460.3;381.6;540.0;2211001.0;Medio;Medio;Grupo(D,E);Grupo(D,E);Sim;Não;Sim;1497;E;12;12;1.5;(1, 2];441.7600000000001;(300, 500];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
50;M;Preta;Estadual;Urbano;462.4;579.4;550.9;680.0;980.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;4;5;3.0;(2, 3];650.5400000000002;(650, 800];(500, 650];(500, 650];(300, 500];(800.0, 1000.0];0
51;F;Parda;Particular;Urbano;595.4;606.9;645.3;679.0;840.0;2211001.0;Medio;Superior;Grupo(A,B,C);Grupo(D,E);Sim;Sim;Sim;8982;C;12;18;0.67;(0, 1];673.3199999999998;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
52;F;Parda;Estadual;Urbano;589.0;621.5;618.3;671.3;880.0;2211001.0;FundamentalIncompleto;Superior;Grupo(A,B,C);Grupo(D,E);Sim;Sim;Sim;2495;D;5;16;2.0;(1, 2];676.02;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
53;F;Parda;Estadual;Urbano;518.8;546.7;534.7;581.0;780.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;12;12;1.67;(1, 2];592.24;(500, 650];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
54;F;Branco;Particular;Urbano;532.5;584.9;556.7;474.0;920.0;2211001.0;FundamentalIncompleto;Superior;Grupo(A,B,C);Grupo(D,E);Sim;Sim;Sim;3992;D;4;16;3.0;(2, 3];613.62;(300, 500];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
55;F;Preta;Estadual;Urbano;551.4;548.3;561.9;578.0;880.0;2211001.0;Superior;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;3992;D;16;9;3.0;(2, 3];623.92;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
56;F;Branco;Particular;Urbano;626.3;564.7;618.1;663.5;860.0;2211001.0;FundamentalIncompleto;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;2495;D;5;18;1.33;(1, 2];666.5200000000002;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
57;F;Preta;Particular;Urbano;425.9;540.8;561.8;539.1;840.0;2211001.0;Medio;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;12;5;1.5;(1, 2];581.52;(500, 650];(500, 650];(500, 650];(300, 500];(800.0, 1000.0];0
58;F;Parda;Particular;Urbano;495.7;616.9;577.4;617.1;960.0;2211001.0;Medio;Superior;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;2495;D;12;16;1.33;(1, 2];653.42;(500, 650];(500, 650];(500, 650];(300, 500];(800.0, 1000.0];0
59;M;Branco;Estadual;Urbano;469.6;527.3;500.5;555.2;540.0;2211001.0;Superior;Medio;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;1497;E;18;12;1.0;(0, 1];518.52;(500, 650];(500, 650];(500, 650];(300, 500];(500.0, 650.0];1
60;F;Preta;Federal;Urbano;430.7;509.2;542.9;501.5;860.0;2211001.0;FundamentalCompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;9;9;3.5;(3, 4];568.8599999999999;(500, 650];(500, 650];(500, 650];(300, 500];(800.0, 1000.0];0
